30.06.2013 19:17:31: Starting interval: 3600 jobs during 3600 seconds
30.06.2013 19:17:31: second 0, jobs that second 0, active requests: 0
30.06.2013 19:28:39: second 668, jobs that second 2, active requests: 1
30.06.2013 19:28:40: second 669, jobs that second 1, active requests: 0
30.06.2013 19:28:41: second 670, jobs that second 0, active requests: 0
30.06.2013 19:28:42: second 671, jobs that second 0, active requests: 0
30.06.2013 19:28:43: second 672, jobs that second 2, active requests: 0
30.06.2013 19:28:44: second 673, jobs that second 5, active requests: 0
30.06.2013 19:28:45: second 674, jobs that second 0, active requests: 2
30.06.2013 19:28:46: second 675, jobs that second 0, active requests: 0
30.06.2013 19:28:47: second 676, jobs that second 0, active requests: 0
30.06.2013 19:28:48: second 677, jobs that second 1, active requests: 0
30.06.2013 19:28:49: second 678, jobs that second 1, active requests: 0
30.06.2013 19:28:50: second 679, jobs that second 0, active requests: 0
30.06.2013 19:28:51: second 680, jobs that second 1, active requests: 0
30.06.2013 19:28:52: second 681, jobs that second 1, active requests: 0
30.06.2013 19:28:53: second 682, jobs that second 1, active requests: 0
30.06.2013 19:28:54: second 683, jobs that second 0, active requests: 0
30.06.2013 19:28:55: second 684, jobs that second 1, active requests: 0
30.06.2013 19:28:56: second 685, jobs that second 1, active requests: 1
30.06.2013 19:28:57: second 686, jobs that second 0, active requests: 0
30.06.2013 19:28:58: second 687, jobs that second 0, active requests: 0
30.06.2013 19:28:59: second 688, jobs that second 1, active requests: 0
30.06.2013 19:29:00: second 689, jobs that second 0, active requests: 1
30.06.2013 19:29:01: second 690, jobs that second 3, active requests: 0
30.06.2013 19:29:02: second 691, jobs that second 0, active requests: 0
30.06.2013 19:29:03: second 692, jobs that second 1, active requests: 0
30.06.2013 19:29:04: second 693, jobs that second 0, active requests: 0
30.06.2013 19:29:05: second 694, jobs that second 2, active requests: 0
30.06.2013 19:29:06: second 695, jobs that second 0, active requests: 0
30.06.2013 19:29:07: second 696, jobs that second 2, active requests: 0
30.06.2013 19:29:08: second 697, jobs that second 2, active requests: 1
30.06.2013 19:29:09: second 698, jobs that second 1, active requests: 1
30.06.2013 19:29:10: second 699, jobs that second 1, active requests: 0
30.06.2013 19:29:11: second 700, jobs that second 0, active requests: 0
30.06.2013 19:29:12: second 701, jobs that second 1, active requests: 0
30.06.2013 19:29:13: second 702, jobs that second 2, active requests: 0
30.06.2013 19:29:14: second 703, jobs that second 0, active requests: 0
30.06.2013 19:29:15: second 704, jobs that second 2, active requests: 0
30.06.2013 19:29:16: second 705, jobs that second 1, active requests: 1
30.06.2013 19:29:17: second 706, jobs that second 1, active requests: 1
30.06.2013 19:29:18: second 707, jobs that second 1, active requests: 0
30.06.2013 19:29:19: second 708, jobs that second 2, active requests: 1
30.06.2013 19:29:20: second 709, jobs that second 0, active requests: 0
30.06.2013 19:29:21: second 710, jobs that second 2, active requests: 0
30.06.2013 19:29:22: second 711, jobs that second 2, active requests: 0
30.06.2013 19:29:23: second 712, jobs that second 1, active requests: 1
30.06.2013 19:29:24: second 713, jobs that second 1, active requests: 1
30.06.2013 19:29:25: second 714, jobs that second 1, active requests: 0
30.06.2013 19:29:26: second 715, jobs that second 0, active requests: 1
30.06.2013 19:29:27: second 716, jobs that second 3, active requests: 0
30.06.2013 19:29:28: second 717, jobs that second 2, active requests: 0
30.06.2013 19:29:29: second 718, jobs that second 2, active requests: 0
30.06.2013 19:29:30: second 719, jobs that second 3, active requests: 1
30.06.2013 19:29:31: second 720, jobs that second 0, active requests: 1
30.06.2013 19:29:32: second 721, jobs that second 0, active requests: 0
30.06.2013 19:29:33: second 722, jobs that second 3, active requests: 0
30.06.2013 19:29:34: second 723, jobs that second 2, active requests: 0
30.06.2013 19:29:35: second 724, jobs that second 0, active requests: 0
30.06.2013 19:29:36: second 725, jobs that second 0, active requests: 0
30.06.2013 19:29:37: second 726, jobs that second 0, active requests: 0
30.06.2013 19:29:38: second 727, jobs that second 0, active requests: 0
30.06.2013 19:29:39: second 728, jobs that second 1, active requests: 0
30.06.2013 19:29:40: second 729, jobs that second 1, active requests: 1
30.06.2013 19:29:41: second 730, jobs that second 0, active requests: 0
30.06.2013 19:29:42: second 731, jobs that second 0, active requests: 0
30.06.2013 19:29:43: second 732, jobs that second 3, active requests: 0
30.06.2013 19:29:44: second 733, jobs that second 1, active requests: 1
30.06.2013 19:29:45: second 734, jobs that second 1, active requests: 0
30.06.2013 19:29:46: second 735, jobs that second 1, active requests: 0
30.06.2013 19:29:47: second 736, jobs that second 1, active requests: 0
30.06.2013 19:29:48: second 737, jobs that second 1, active requests: 0
30.06.2013 19:29:49: second 738, jobs that second 3, active requests: 1
30.06.2013 19:29:50: second 739, jobs that second 0, active requests: 1
30.06.2013 19:29:51: second 740, jobs that second 1, active requests: 0
30.06.2013 19:29:52: second 741, jobs that second 1, active requests: 0
30.06.2013 19:29:53: second 742, jobs that second 2, active requests: 0
30.06.2013 19:29:54: second 743, jobs that second 1, active requests: 0
30.06.2013 19:29:55: second 744, jobs that second 2, active requests: 0
30.06.2013 19:29:56: second 745, jobs that second 0, active requests: 1
30.06.2013 19:29:57: second 746, jobs that second 0, active requests: 0
30.06.2013 19:29:58: second 747, jobs that second 2, active requests: 0
30.06.2013 19:29:59: second 748, jobs that second 1, active requests: 1
30.06.2013 19:30:00: second 749, jobs that second 2, active requests: 0
30.06.2013 19:30:01: second 750, jobs that second 2, active requests: 0
30.06.2013 19:30:02: second 751, jobs that second 2, active requests: 0
30.06.2013 19:30:03: second 752, jobs that second 0, active requests: 1
30.06.2013 19:30:04: second 753, jobs that second 0, active requests: 0
30.06.2013 19:30:05: second 754, jobs that second 1, active requests: 0
30.06.2013 19:30:06: second 755, jobs that second 1, active requests: 1
30.06.2013 19:30:07: second 756, jobs that second 1, active requests: 0
30.06.2013 19:30:08: second 757, jobs that second 1, active requests: 1
30.06.2013 19:30:09: second 758, jobs that second 2, active requests: 0
30.06.2013 19:30:10: second 759, jobs that second 1, active requests: 0
30.06.2013 19:30:11: second 760, jobs that second 2, active requests: 0
30.06.2013 19:30:12: second 761, jobs that second 2, active requests: 1
30.06.2013 19:30:13: second 762, jobs that second 0, active requests: 1
30.06.2013 19:30:14: second 763, jobs that second 0, active requests: 0
30.06.2013 19:30:15: second 764, jobs that second 1, active requests: 0
30.06.2013 19:30:16: second 765, jobs that second 2, active requests: 1
30.06.2013 19:30:17: second 766, jobs that second 0, active requests: 0
30.06.2013 19:30:18: second 767, jobs that second 1, active requests: 0
30.06.2013 19:30:19: second 768, jobs that second 1, active requests: 0
30.06.2013 19:30:20: second 769, jobs that second 2, active requests: 0
30.06.2013 19:30:21: second 770, jobs that second 0, active requests: 0
30.06.2013 19:30:22: second 771, jobs that second 2, active requests: 0
30.06.2013 19:30:23: second 772, jobs that second 0, active requests: 1
30.06.2013 19:30:24: second 773, jobs that second 1, active requests: 0
30.06.2013 19:30:25: second 774, jobs that second 1, active requests: 1
30.06.2013 19:30:26: second 775, jobs that second 1, active requests: 0
30.06.2013 19:30:27: second 776, jobs that second 1, active requests: 0
30.06.2013 19:30:28: second 777, jobs that second 0, active requests: 0
30.06.2013 19:30:29: second 778, jobs that second 2, active requests: 0
30.06.2013 19:30:30: second 779, jobs that second 0, active requests: 0
30.06.2013 19:30:31: second 780, jobs that second 2, active requests: 0
30.06.2013 19:30:32: second 781, jobs that second 1, active requests: 1
30.06.2013 19:30:33: second 782, jobs that second 0, active requests: 0
30.06.2013 19:30:34: second 783, jobs that second 1, active requests: 0
30.06.2013 19:30:35: second 784, jobs that second 3, active requests: 1
30.06.2013 19:30:36: second 785, jobs that second 1, active requests: 0
30.06.2013 19:30:37: second 786, jobs that second 0, active requests: 0
30.06.2013 19:30:38: second 787, jobs that second 0, active requests: 0
30.06.2013 19:30:39: second 788, jobs that second 0, active requests: 0
30.06.2013 19:30:40: second 789, jobs that second 1, active requests: 0
30.06.2013 19:30:41: second 790, jobs that second 1, active requests: 0
30.06.2013 19:30:42: second 791, jobs that second 4, active requests: 0
30.06.2013 19:30:43: second 792, jobs that second 0, active requests: 2
30.06.2013 19:30:44: second 793, jobs that second 2, active requests: 0
30.06.2013 19:30:45: second 794, jobs that second 0, active requests: 0
30.06.2013 19:30:46: second 795, jobs that second 1, active requests: 0
30.06.2013 19:30:47: second 796, jobs that second 2, active requests: 0
30.06.2013 19:30:48: second 797, jobs that second 0, active requests: 0
30.06.2013 19:30:49: second 798, jobs that second 0, active requests: 0
30.06.2013 19:30:50: second 799, jobs that second 0, active requests: 0
30.06.2013 19:30:51: second 800, jobs that second 0, active requests: 0
30.06.2013 19:30:52: second 801, jobs that second 0, active requests: 0
30.06.2013 19:30:53: second 802, jobs that second 1, active requests: 0
30.06.2013 19:30:54: second 803, jobs that second 1, active requests: 1
30.06.2013 19:30:55: second 804, jobs that second 1, active requests: 0
30.06.2013 19:30:56: second 805, jobs that second 1, active requests: 1
30.06.2013 19:30:57: second 806, jobs that second 3, active requests: 0
30.06.2013 19:30:58: second 807, jobs that second 2, active requests: 0
30.06.2013 19:30:59: second 808, jobs that second 0, active requests: 0
30.06.2013 19:31:00: second 809, jobs that second 0, active requests: 0
30.06.2013 19:31:01: second 810, jobs that second 1, active requests: 0
30.06.2013 19:31:02: second 811, jobs that second 1, active requests: 1
30.06.2013 19:31:03: second 812, jobs that second 4, active requests: 0
30.06.2013 19:31:04: second 813, jobs that second 0, active requests: 1
30.06.2013 19:31:05: second 814, jobs that second 0, active requests: 0
30.06.2013 19:31:06: second 815, jobs that second 0, active requests: 0
30.06.2013 19:31:07: second 816, jobs that second 0, active requests: 0
30.06.2013 19:31:08: second 817, jobs that second 2, active requests: 0
30.06.2013 19:31:09: second 818, jobs that second 2, active requests: 0
30.06.2013 19:31:10: second 819, jobs that second 0, active requests: 1
30.06.2013 19:31:11: second 820, jobs that second 1, active requests: 0
30.06.2013 19:31:12: second 821, jobs that second 2, active requests: 0
30.06.2013 19:31:13: second 822, jobs that second 0, active requests: 1
30.06.2013 19:31:14: second 823, jobs that second 1, active requests: 0
30.06.2013 19:31:15: second 824, jobs that second 1, active requests: 1
30.06.2013 19:31:16: second 825, jobs that second 3, active requests: 0
30.06.2013 19:31:17: second 826, jobs that second 2, active requests: 0
30.06.2013 19:31:18: second 827, jobs that second 1, active requests: 1
30.06.2013 19:31:19: second 828, jobs that second 1, active requests: 1
30.06.2013 19:31:20: second 829, jobs that second 0, active requests: 0
30.06.2013 19:31:21: second 830, jobs that second 3, active requests: 0
30.06.2013 19:31:22: second 831, jobs that second 0, active requests: 1
30.06.2013 19:31:23: second 832, jobs that second 1, active requests: 0
30.06.2013 19:31:24: second 833, jobs that second 2, active requests: 0
30.06.2013 19:31:25: second 834, jobs that second 2, active requests: 0
30.06.2013 19:31:26: second 835, jobs that second 1, active requests: 1
30.06.2013 19:31:27: second 836, jobs that second 2, active requests: 0
30.06.2013 19:31:28: second 837, jobs that second 2, active requests: 1
30.06.2013 19:31:29: second 838, jobs that second 0, active requests: 0
30.06.2013 19:31:30: second 839, jobs that second 0, active requests: 0
30.06.2013 19:31:31: second 840, jobs that second 1, active requests: 0
30.06.2013 19:31:32: second 841, jobs that second 3, active requests: 0
30.06.2013 19:31:33: second 842, jobs that second 0, active requests: 1
30.06.2013 19:31:34: second 843, jobs that second 1, active requests: 0
30.06.2013 19:31:35: second 844, jobs that second 2, active requests: 0
30.06.2013 19:31:36: second 845, jobs that second 1, active requests: 1
30.06.2013 19:31:37: second 846, jobs that second 4, active requests: 0
30.06.2013 19:31:38: second 847, jobs that second 1, active requests: 0
30.06.2013 19:31:39: second 848, jobs that second 0, active requests: 1
30.06.2013 19:31:40: second 849, jobs that second 2, active requests: 0
30.06.2013 19:31:41: second 850, jobs that second 2, active requests: 1
30.06.2013 19:31:42: second 851, jobs that second 0, active requests: 0
30.06.2013 19:31:43: second 852, jobs that second 0, active requests: 0
30.06.2013 19:31:44: second 853, jobs that second 0, active requests: 0
30.06.2013 19:31:45: second 854, jobs that second 0, active requests: 0
30.06.2013 19:31:46: second 855, jobs that second 0, active requests: 0
30.06.2013 19:31:47: second 856, jobs that second 0, active requests: 0
30.06.2013 19:31:48: second 857, jobs that second 1, active requests: 0
30.06.2013 19:31:49: second 858, jobs that second 0, active requests: 0
30.06.2013 19:31:50: second 859, jobs that second 0, active requests: 0
30.06.2013 19:31:51: second 860, jobs that second 0, active requests: 0
30.06.2013 19:31:52: second 861, jobs that second 0, active requests: 0
30.06.2013 19:31:53: second 862, jobs that second 1, active requests: 0
30.06.2013 19:31:54: second 863, jobs that second 2, active requests: 0
30.06.2013 19:31:55: second 864, jobs that second 0, active requests: 0
30.06.2013 19:31:56: second 865, jobs that second 0, active requests: 0
30.06.2013 19:31:57: second 866, jobs that second 3, active requests: 0
30.06.2013 19:31:58: second 867, jobs that second 2, active requests: 2
30.06.2013 19:31:59: second 868, jobs that second 1, active requests: 0
30.06.2013 19:32:00: second 869, jobs that second 1, active requests: 0
30.06.2013 19:32:01: second 870, jobs that second 1, active requests: 0
30.06.2013 19:32:02: second 871, jobs that second 2, active requests: 0
30.06.2013 19:32:03: second 872, jobs that second 2, active requests: 1
30.06.2013 19:32:04: second 873, jobs that second 2, active requests: 1
30.06.2013 19:32:05: second 874, jobs that second 2, active requests: 1
30.06.2013 19:32:06: second 875, jobs that second 0, active requests: 0
30.06.2013 19:32:07: second 876, jobs that second 0, active requests: 0
30.06.2013 19:32:08: second 877, jobs that second 2, active requests: 0
30.06.2013 19:32:09: second 878, jobs that second 3, active requests: 0
30.06.2013 19:32:10: second 879, jobs that second 1, active requests: 2
30.06.2013 19:32:11: second 880, jobs that second 0, active requests: 0
30.06.2013 19:32:12: second 881, jobs that second 0, active requests: 0
30.06.2013 19:32:13: second 882, jobs that second 2, active requests: 0
30.06.2013 19:32:14: second 883, jobs that second 1, active requests: 1
30.06.2013 19:32:15: second 884, jobs that second 0, active requests: 0
30.06.2013 19:32:16: second 885, jobs that second 0, active requests: 0
30.06.2013 19:32:17: second 886, jobs that second 0, active requests: 0
30.06.2013 19:32:18: second 887, jobs that second 1, active requests: 0
30.06.2013 19:32:19: second 888, jobs that second 2, active requests: 0
30.06.2013 19:32:20: second 889, jobs that second 2, active requests: 0
30.06.2013 19:32:21: second 890, jobs that second 0, active requests: 1
30.06.2013 19:32:22: second 891, jobs that second 1, active requests: 0
30.06.2013 19:32:23: second 892, jobs that second 0, active requests: 0
30.06.2013 19:32:24: second 893, jobs that second 0, active requests: 0
30.06.2013 19:32:25: second 894, jobs that second 2, active requests: 0
30.06.2013 19:32:26: second 895, jobs that second 1, active requests: 1
30.06.2013 19:32:27: second 896, jobs that second 1, active requests: 0
30.06.2013 19:32:28: second 897, jobs that second 3, active requests: 0
30.06.2013 19:32:29: second 898, jobs that second 1, active requests: 0
30.06.2013 19:32:30: second 899, jobs that second 1, active requests: 1
30.06.2013 19:32:31: second 900, jobs that second 0, active requests: 0
30.06.2013 19:32:32: second 901, jobs that second 3, active requests: 0
30.06.2013 19:32:33: second 902, jobs that second 1, active requests: 1
30.06.2013 19:32:34: second 903, jobs that second 0, active requests: 0
30.06.2013 19:32:35: second 904, jobs that second 2, active requests: 0
30.06.2013 19:32:36: second 905, jobs that second 1, active requests: 0
30.06.2013 19:32:37: second 906, jobs that second 2, active requests: 0
30.06.2013 19:32:38: second 907, jobs that second 1, active requests: 1
30.06.2013 19:32:39: second 908, jobs that second 1, active requests: 1
30.06.2013 19:32:40: second 909, jobs that second 1, active requests: 0
30.06.2013 19:32:41: second 910, jobs that second 1, active requests: 0
30.06.2013 19:32:42: second 911, jobs that second 3, active requests: 0
30.06.2013 19:32:43: second 912, jobs that second 1, active requests: 0
30.06.2013 19:32:44: second 913, jobs that second 1, active requests: 1
30.06.2013 19:32:45: second 914, jobs that second 2, active requests: 0
30.06.2013 19:32:46: second 915, jobs that second 0, active requests: 1
30.06.2013 19:32:47: second 916, jobs that second 1, active requests: 0
30.06.2013 19:32:48: second 917, jobs that second 0, active requests: 0
30.06.2013 19:32:49: second 918, jobs that second 1, active requests: 0
30.06.2013 19:32:50: second 919, jobs that second 2, active requests: 0
30.06.2013 19:32:51: second 920, jobs that second 3, active requests: 0
30.06.2013 19:32:52: second 921, jobs that second 0, active requests: 1
30.06.2013 19:32:53: second 922, jobs that second 0, active requests: 0
30.06.2013 19:32:54: second 923, jobs that second 1, active requests: 0
30.06.2013 19:32:55: second 924, jobs that second 0, active requests: 1
30.06.2013 19:32:56: second 925, jobs that second 1, active requests: 0
30.06.2013 19:32:57: second 926, jobs that second 2, active requests: 0
30.06.2013 19:32:58: second 927, jobs that second 1, active requests: 1
30.06.2013 19:32:59: second 928, jobs that second 3, active requests: 0
30.06.2013 19:33:00: second 929, jobs that second 1, active requests: 1
30.06.2013 19:33:01: second 930, jobs that second 0, active requests: 0
30.06.2013 19:33:02: second 931, jobs that second 1, active requests: 0
30.06.2013 19:33:03: second 932, jobs that second 0, active requests: 1
30.06.2013 19:33:04: second 933, jobs that second 1, active requests: 0
30.06.2013 19:33:05: second 934, jobs that second 1, active requests: 0
30.06.2013 19:33:06: second 935, jobs that second 1, active requests: 1
30.06.2013 19:33:07: second 936, jobs that second 1, active requests: 0
30.06.2013 19:33:08: second 937, jobs that second 1, active requests: 0
30.06.2013 19:33:09: second 938, jobs that second 2, active requests: 0
30.06.2013 19:33:10: second 939, jobs that second 0, active requests: 0
30.06.2013 19:33:11: second 940, jobs that second 1, active requests: 0
30.06.2013 19:33:12: second 941, jobs that second 2, active requests: 0
30.06.2013 19:33:13: second 942, jobs that second 1, active requests: 1
30.06.2013 19:33:14: second 943, jobs that second 1, active requests: 1
30.06.2013 19:33:15: second 944, jobs that second 0, active requests: 0
30.06.2013 19:33:16: second 945, jobs that second 1, active requests: 0
30.06.2013 19:33:17: second 946, jobs that second 0, active requests: 0
30.06.2013 19:33:18: second 947, jobs that second 3, active requests: 0
30.06.2013 19:33:19: second 948, jobs that second 4, active requests: 0
30.06.2013 19:33:20: second 949, jobs that second 0, active requests: 2
30.06.2013 19:33:21: second 950, jobs that second 1, active requests: 0
30.06.2013 19:33:22: second 951, jobs that second 1, active requests: 0
30.06.2013 19:33:23: second 952, jobs that second 0, active requests: 0
30.06.2013 19:33:24: second 953, jobs that second 0, active requests: 0
30.06.2013 19:33:25: second 954, jobs that second 3, active requests: 0
30.06.2013 19:33:26: second 955, jobs that second 1, active requests: 0
30.06.2013 19:33:27: second 956, jobs that second 1, active requests: 0
30.06.2013 19:33:28: second 957, jobs that second 1, active requests: 1
30.06.2013 19:33:29: second 958, jobs that second 0, active requests: 0
30.06.2013 19:33:30: second 959, jobs that second 0, active requests: 0
30.06.2013 19:33:31: second 960, jobs that second 1, active requests: 0
30.06.2013 19:33:32: second 961, jobs that second 0, active requests: 1
30.06.2013 19:33:33: second 962, jobs that second 1, active requests: 0
30.06.2013 19:33:34: second 963, jobs that second 0, active requests: 0
30.06.2013 19:33:35: second 964, jobs that second 1, active requests: 0
30.06.2013 19:33:36: second 965, jobs that second 0, active requests: 0
30.06.2013 19:33:37: second 966, jobs that second 0, active requests: 0
30.06.2013 19:33:38: second 967, jobs that second 1, active requests: 0
30.06.2013 19:33:39: second 968, jobs that second 1, active requests: 0
30.06.2013 19:33:40: second 969, jobs that second 1, active requests: 0
30.06.2013 19:33:41: second 970, jobs that second 2, active requests: 0
30.06.2013 19:33:42: second 971, jobs that second 1, active requests: 1
30.06.2013 19:33:43: second 972, jobs that second 0, active requests: 0
30.06.2013 19:33:44: second 973, jobs that second 1, active requests: 0
30.06.2013 19:33:45: second 974, jobs that second 2, active requests: 1
30.06.2013 19:33:46: second 975, jobs that second 3, active requests: 0
30.06.2013 19:33:47: second 976, jobs that second 0, active requests: 0
30.06.2013 19:33:48: second 977, jobs that second 1, active requests: 0
30.06.2013 19:33:49: second 978, jobs that second 0, active requests: 0
30.06.2013 19:33:50: second 979, jobs that second 0, active requests: 0
30.06.2013 19:33:51: second 980, jobs that second 1, active requests: 0
30.06.2013 19:33:52: second 981, jobs that second 1, active requests: 1
30.06.2013 19:33:53: second 982, jobs that second 2, active requests: 0
30.06.2013 19:33:54: second 983, jobs that second 2, active requests: 1
30.06.2013 19:33:55: second 984, jobs that second 0, active requests: 1
30.06.2013 19:33:56: second 985, jobs that second 1, active requests: 0
30.06.2013 19:33:57: second 986, jobs that second 2, active requests: 0
30.06.2013 19:33:58: second 987, jobs that second 0, active requests: 0
30.06.2013 19:33:59: second 988, jobs that second 1, active requests: 0
30.06.2013 19:34:00: second 989, jobs that second 0, active requests: 1
30.06.2013 19:34:01: second 990, jobs that second 0, active requests: 0
30.06.2013 19:34:02: second 991, jobs that second 1, active requests: 0
30.06.2013 19:34:03: second 992, jobs that second 2, active requests: 0
30.06.2013 19:34:04: second 993, jobs that second 0, active requests: 1
30.06.2013 19:34:05: second 994, jobs that second 1, active requests: 0
30.06.2013 19:34:06: second 995, jobs that second 4, active requests: 1
30.06.2013 19:34:07: second 996, jobs that second 1, active requests: 0
30.06.2013 19:34:08: second 997, jobs that second 1, active requests: 0
30.06.2013 19:34:09: second 998, jobs that second 0, active requests: 0
30.06.2013 19:34:10: second 999, jobs that second 0, active requests: 0
30.06.2013 19:34:11: second 1000, jobs that second 0, active requests: 0
30.06.2013 19:34:12: second 1001, jobs that second 3, active requests: 0
30.06.2013 19:34:13: second 1002, jobs that second 1, active requests: 2
30.06.2013 19:34:14: second 1003, jobs that second 0, active requests: 0
30.06.2013 19:34:15: second 1004, jobs that second 1, active requests: 0
30.06.2013 19:34:16: second 1005, jobs that second 2, active requests: 0
30.06.2013 19:34:17: second 1006, jobs that second 2, active requests: 0
30.06.2013 19:34:18: second 1007, jobs that second 0, active requests: 0
30.06.2013 19:34:19: second 1008, jobs that second 1, active requests: 0
30.06.2013 19:34:20: second 1009, jobs that second 2, active requests: 1
30.06.2013 19:34:21: second 1010, jobs that second 1, active requests: 1
30.06.2013 19:34:22: second 1011, jobs that second 2, active requests: 0
30.06.2013 19:34:23: second 1012, jobs that second 0, active requests: 0
30.06.2013 19:34:24: second 1013, jobs that second 0, active requests: 0
30.06.2013 19:34:25: second 1014, jobs that second 0, active requests: 0
30.06.2013 19:34:26: second 1015, jobs that second 0, active requests: 0
30.06.2013 19:34:27: second 1016, jobs that second 0, active requests: 0
30.06.2013 19:34:28: second 1017, jobs that second 0, active requests: 0
30.06.2013 19:34:29: second 1018, jobs that second 0, active requests: 0
30.06.2013 19:34:30: second 1019, jobs that second 0, active requests: 0
30.06.2013 19:34:31: second 1020, jobs that second 0, active requests: 0
30.06.2013 19:34:32: second 1021, jobs that second 0, active requests: 0
30.06.2013 19:34:33: second 1022, jobs that second 0, active requests: 0
30.06.2013 19:34:34: second 1023, jobs that second 2, active requests: 0
30.06.2013 19:34:35: second 1024, jobs that second 1, active requests: 0
30.06.2013 19:34:36: second 1025, jobs that second 2, active requests: 0
30.06.2013 19:34:37: second 1026, jobs that second 1, active requests: 1
30.06.2013 19:34:38: second 1027, jobs that second 1, active requests: 1
30.06.2013 19:34:39: second 1028, jobs that second 0, active requests: 0
30.06.2013 19:34:40: second 1029, jobs that second 3, active requests: 0
30.06.2013 19:34:41: second 1030, jobs that second 2, active requests: 0
30.06.2013 19:34:42: second 1031, jobs that second 1, active requests: 0
30.06.2013 19:34:43: second 1032, jobs that second 1, active requests: 1
30.06.2013 19:34:44: second 1033, jobs that second 2, active requests: 0
30.06.2013 19:34:45: second 1034, jobs that second 0, active requests: 1
30.06.2013 19:34:46: second 1035, jobs that second 0, active requests: 0
30.06.2013 19:34:47: second 1036, jobs that second 0, active requests: 0
30.06.2013 19:34:48: second 1037, jobs that second 0, active requests: 0
30.06.2013 19:34:49: second 1038, jobs that second 1, active requests: 0
30.06.2013 19:34:50: second 1039, jobs that second 0, active requests: 0
30.06.2013 19:34:51: second 1040, jobs that second 0, active requests: 0
30.06.2013 19:34:52: second 1041, jobs that second 1, active requests: 0
30.06.2013 19:34:53: second 1042, jobs that second 0, active requests: 0
30.06.2013 19:34:54: second 1043, jobs that second 1, active requests: 0
30.06.2013 19:34:55: second 1044, jobs that second 4, active requests: 0
30.06.2013 19:34:56: second 1045, jobs that second 1, active requests: 1
30.06.2013 19:34:57: second 1046, jobs that second 0, active requests: 1
30.06.2013 19:34:58: second 1047, jobs that second 0, active requests: 0
30.06.2013 19:34:59: second 1048, jobs that second 0, active requests: 0
30.06.2013 19:35:00: second 1049, jobs that second 0, active requests: 0
30.06.2013 19:35:01: second 1050, jobs that second 1, active requests: 0
30.06.2013 19:35:02: second 1051, jobs that second 0, active requests: 0
30.06.2013 19:35:03: second 1052, jobs that second 0, active requests: 0
30.06.2013 19:35:04: second 1053, jobs that second 1, active requests: 0
30.06.2013 19:35:05: second 1054, jobs that second 0, active requests: 1
30.06.2013 19:35:06: second 1055, jobs that second 3, active requests: 0
30.06.2013 19:35:07: second 1056, jobs that second 0, active requests: 0
30.06.2013 19:35:08: second 1057, jobs that second 3, active requests: 0
30.06.2013 19:35:09: second 1058, jobs that second 0, active requests: 1
30.06.2013 19:35:10: second 1059, jobs that second 1, active requests: 0
30.06.2013 19:35:11: second 1060, jobs that second 0, active requests: 1
30.06.2013 19:35:12: second 1061, jobs that second 1, active requests: 0
30.06.2013 19:35:13: second 1062, jobs that second 2, active requests: 0
30.06.2013 19:35:14: second 1063, jobs that second 1, active requests: 1
30.06.2013 19:35:15: second 1064, jobs that second 1, active requests: 0
30.06.2013 19:35:16: second 1065, jobs that second 2, active requests: 0
30.06.2013 19:35:17: second 1066, jobs that second 0, active requests: 0
30.06.2013 19:35:18: second 1067, jobs that second 3, active requests: 0
30.06.2013 19:35:19: second 1068, jobs that second 0, active requests: 1
30.06.2013 19:35:20: second 1069, jobs that second 0, active requests: 0
30.06.2013 19:35:21: second 1070, jobs that second 0, active requests: 0
30.06.2013 19:35:22: second 1071, jobs that second 0, active requests: 0
30.06.2013 19:35:23: second 1072, jobs that second 2, active requests: 0
30.06.2013 19:35:24: second 1073, jobs that second 0, active requests: 1
30.06.2013 19:35:25: second 1074, jobs that second 0, active requests: 0
30.06.2013 19:35:26: second 1075, jobs that second 0, active requests: 0
30.06.2013 19:35:27: second 1076, jobs that second 1, active requests: 0
30.06.2013 19:35:28: second 1077, jobs that second 2, active requests: 0
30.06.2013 19:35:29: second 1078, jobs that second 3, active requests: 0
30.06.2013 19:35:30: second 1079, jobs that second 1, active requests: 1
30.06.2013 19:35:31: second 1080, jobs that second 5, active requests: 0
30.06.2013 19:35:32: second 1081, jobs that second 1, active requests: 1
30.06.2013 19:35:33: second 1082, jobs that second 0, active requests: 0
30.06.2013 19:35:34: second 1083, jobs that second 4, active requests: 0
30.06.2013 19:35:35: second 1084, jobs that second 1, active requests: 2
30.06.2013 19:35:36: second 1085, jobs that second 0, active requests: 0
30.06.2013 19:35:37: second 1086, jobs that second 2, active requests: 0
30.06.2013 19:35:38: second 1087, jobs that second 0, active requests: 0
30.06.2013 19:35:39: second 1088, jobs that second 1, active requests: 0
30.06.2013 19:35:40: second 1089, jobs that second 1, active requests: 0
30.06.2013 19:35:41: second 1090, jobs that second 0, active requests: 0
30.06.2013 19:35:42: second 1091, jobs that second 4, active requests: 0
30.06.2013 19:35:43: second 1092, jobs that second 1, active requests: 2
30.06.2013 19:35:44: second 1093, jobs that second 2, active requests: 0
30.06.2013 19:35:45: second 1094, jobs that second 0, active requests: 0
30.06.2013 19:35:46: second 1095, jobs that second 0, active requests: 0
30.06.2013 19:35:47: second 1096, jobs that second 3, active requests: 0
30.06.2013 19:35:48: second 1097, jobs that second 0, active requests: 0
30.06.2013 19:35:49: second 1098, jobs that second 0, active requests: 0
30.06.2013 19:35:50: second 1099, jobs that second 1, active requests: 0
